"","v_seq","v_spopSize","v_found_in_iteration","v_how_many_found","v_time","v_is_elitism"
"130",0.3,50,39,46,2.76799999999997,FALSE
"129",0.3,50,88,48,2.77800000000002,TRUE
"52",0.1,60,29,49,2.78700000000001,FALSE
"149",0.35,50,97,47,2.84999999999997,TRUE
"71",0.15,60,15,49,2.887,TRUE
"150",0.35,50,31,46,2.88800000000003,FALSE
"72",0.15,60,56,49,2.923,FALSE
"189",0.45,50,58,46,2.95300000000003,TRUE
"190",0.45,50,15,45,3.01400000000001,FALSE
"91",0.2,60,98,49,3.02000000000001,TRUE
"169",0.4,50,59,47,3.03699999999998,TRUE
"33",0.05,70,15,49,3.063,TRUE
"209",0.5,50,89,45,3.06499999999994,TRUE
"92",0.2,60,22,48,3.077,FALSE
"170",0.4,50,55,45,3.10599999999999,FALSE
"210",0.5,50,35,45,3.11900000000003,FALSE
"34",0.05,70,21,49,3.127,FALSE
"111",0.25,60,46,49,3.18299999999999,TRUE
"53",0.1,70,18,49,3.224,TRUE
"112",0.25,60,9,46,3.26300000000003,FALSE
"54",0.1,70,19,49,3.28,FALSE
"131",0.3,60,60,48,3.30700000000002,TRUE
"132",0.3,60,23,47,3.34699999999998,FALSE
"73",0.15,70,19,49,3.39399999999998,TRUE
"151",0.35,60,44,47,3.42700000000002,TRUE
"74",0.15,70,45,49,3.43600000000001,FALSE
"152",0.35,60,92,48,3.50300000000004,FALSE
"35",0.05,80,15,49,3.549,TRUE
"36",0.05,80,22,49,3.566,FALSE
"93",0.2,70,27,49,3.56800000000001,TRUE
"94",0.2,70,22,48,3.61699999999999,FALSE
"192",0.45,60,45,46,3.64600000000007,FALSE
"171",0.4,60,88,48,3.65000000000003,TRUE
"191",0.45,60,42,46,3.68799999999999,TRUE
"211",0.5,60,44,46,3.72799999999995,TRUE
"55",0.1,80,15,49,3.735,TRUE
"113",0.25,70,47,48,3.738,TRUE
"172",0.4,60,61,45,3.75,FALSE
"56",0.1,80,14,49,3.768,FALSE
"212",0.5,60,44,46,3.76800000000003,FALSE
"114",0.25,70,50,49,3.82299999999998,FALSE
"133",0.3,70,15,48,3.89999999999998,TRUE
"76",0.15,80,34,49,3.95099999999999,FALSE
"134",0.3,70,68,48,3.95300000000003,FALSE
"75",0.15,80,18,49,3.97,TRUE
"37",0.05,90,15,49,4.03100000000001,TRUE
"38",0.05,90,10,49,4.036,FALSE
"153",0.35,70,48,46,4.08699999999999,TRUE
"154",0.35,70,41,47,4.11899999999997,FALSE
"95",0.2,80,16,49,4.13399999999999,TRUE
"96",0.2,80,7,48,4.16800000000001,FALSE
"193",0.45,70,57,47,4.18700000000001,TRUE
"194",0.45,70,14,45,4.25599999999997,FALSE
"57",0.1,90,17,49,4.27500000000001,TRUE
"58",0.1,90,19,49,4.29899999999999,FALSE
"173",0.4,70,68,48,4.30399999999997,TRUE
"174",0.4,70,18,47,4.32600000000002,FALSE
"115",0.25,80,23,47,4.34199999999998,TRUE
"116",0.25,80,15,48,4.36700000000002,FALSE
"213",0.5,70,36,45,4.38799999999992,TRUE
"214",0.5,70,52,46,4.43299999999999,FALSE
"77",0.15,90,39,49,4.45099999999999,TRUE
"40",0.05,100,16,49,4.476,FALSE
"39",0.05,100,15,49,4.486,TRUE
"78",0.15,90,17,49,4.505,FALSE
"136",0.3,80,58,47,4.51599999999996,FALSE
"135",0.3,80,61,48,4.53499999999997,TRUE
"97",0.2,90,14,49,4.67899999999997,TRUE
"155",0.35,80,56,48,4.68200000000002,TRUE
"98",0.2,90,15,48,4.70000000000002,FALSE
"59",0.1,100,12,49,4.72199999999999,TRUE
"156",0.35,80,58,46,4.72999999999996,FALSE
"60",0.1,100,18,49,4.753,FALSE
"195",0.45,80,25,47,4.83399999999995,TRUE
"117",0.25,90,92,49,4.92199999999997,TRUE
"196",0.45,80,25,46,4.93599999999992,FALSE
"175",0.4,80,6,47,4.96999999999997,TRUE
"79",0.15,100,14,49,4.971,TRUE
"176",0.4,80,13,46,4.98399999999998,FALSE
"118",0.25,90,29,48,4.99400000000003,FALSE
"80",0.15,100,34,49,5,FALSE
"215",0.5,80,63,46,5.053,TRUE
"137",0.3,90,69,48,5.05399999999997,TRUE
"216",0.5,80,5,45,5.09000000000003,FALSE
"138",0.3,90,62,47,5.13099999999997,FALSE
"99",0.2,100,50,49,5.19400000000002,TRUE
"100",0.2,100,14,48,5.23100000000002,FALSE
"157",0.35,90,19,48,5.327,TRUE
"178",0.4,90,13,45,5.32999999999998,FALSE
"158",0.35,90,35,47,5.34300000000002,FALSE
"197",0.45,90,77,47,5.46500000000003,TRUE
"120",0.25,100,49,48,5.49000000000001,FALSE
"119",0.25,100,42,48,5.49200000000002,TRUE
"198",0.45,90,2,45,5.50099999999998,FALSE
"177",0.4,90,10,47,5.59499999999997,TRUE
"217",0.5,90,66,46,5.64999999999998,TRUE
"139",0.3,100,59,49,5.67499999999995,TRUE
"140",0.3,100,46,47,5.70999999999998,FALSE
"218",0.5,90,3,45,5.71300000000008,FALSE
"179",0.4,100,68,47,5.84399999999999,TRUE
"159",0.35,100,51,47,5.91800000000001,TRUE
"160",0.35,100,11,47,5.94200000000001,FALSE
"180",0.4,100,21,46,5.96699999999998,FALSE
"199",0.45,100,98,47,6.08399999999995,TRUE
"200",0.45,100,62,46,6.15499999999997,FALSE
"219",0.5,100,91,46,6.30399999999997,TRUE
"220",0.5,100,31,45,6.38499999999999,FALSE
